Student,Grade,Gender,Extra Care,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5
S_40,4,Girl,No,S_63,S_58,S_48,S_08,S_86
S_41,5,Girl,No,S_68,S_85,S_80,S_76,S_66
S_42,4,Girl,No,S_64,S_71,S_54,S_19,S_32
S_43,4,Girl,No,S_23,S_31,S_46,S_74,S_95
S_44,5,Boy,No,S_73,S_19,S_07,S_94,S_88
S_45,4,Girl,Yes,S_67,S_64,S_62,S_69,S_61
S_46,6,Girl,No,S_28,S_39,S_14,S_16,S_13
S_47,4,Boy,No,S_74,S_38,S_04,S_54,S_80
S_48,4,Boy,Yes,S_09,S_24,S_03,S_46,S_07
S_49,5,Girl,No,S_80,S_69,S_25,S_97,S_45
S_50,5,Boy,No,S_93,S_10,S_95,S_22,S_14
S_51,5,Girl,No,S_66,S_02,S_70,S_68,S_60
S_52,5,Boy,No,S_62,S_56,S_68,S_82,S_72
S_53,6,Boy,No,S_94,S_81,S_02,S_48,S_72
S_54,5,Boy,No,S_29,S_85,S_56,S_38,S_28
S_55,5,Girl,No,S_02,S_97,S_03,S_19,S_53
S_56,5,Boy,No,S_94,S_60,S_61,S_47,S_36
S_57,4,Boy,No,S_17,S_71,S_94,S_17,S_53
S_58,4,Boy,No,S_65,S_04,S_31,S_25,S_67
S_59,5,Boy,No,S_52,S_22,S_52,S_74,S_54
S_60,4,Boy,No,S_56,S_04,S_27,S_27,S_24
S_61,4,Girl,No,S_70,S_79,S_66,S_35,S_64
S_62,4,Boy,Yes,S_41,S_34,S_43,S_21,S_76
S_63,5,Girl,No,S_01,S_63,S_94,S_74,S_05
S_64,6,Boy,No,S_02,S_79,S_39,S_66,S_86
S_65,5,Boy,No,S_42,S_60,S_92,S_21,S_67
S_66,4,Girl,Yes,S_13,S_32,S_97,S_08,S_33
S_67,4,Girl,No,S_17,S_13,S_63,S_19,S_67
S_68,5,Girl,No,S_51,S_19,S_21,S_85,S_54
S_69,5,Boy,No,S_87,S_94,S_56,S_11,S_34
S_70,6,Girl,No,S_44,S_67,S_42,S_58,S_16
S_71,4,Boy,No,S_92,S_20,S_36,S_76,S_95
S_72,4,Girl,No,S_02,S_87,S_52,S_74,S_25
S_73,6,Boy,No,S_62,S_05,S_64,S_83,S_58
S_74,5,Girl,No,S_46,S_69,S_11,S_23,S_30
S_75,6,Girl,No,S_37,S_97,S_60,S_06,S_17
S_76,6,Girl,No,S_92,S_89,S_78,S_22,S_53
S_77,4,Boy,No,S_96,S_40,S_81,S_81,S_95
S_78,5,Girl,No,S_49,S_14,S_44,S_30,S_74
S_79,4,Boy,No,S_52,S_06,S_15,S_44,S_49
S_80,5,Boy,No,S_58,S_34,S_32,S_77,S_46
S_81,6,Girl,No,S_44,S_87,S_54,S_52,S_32
S_82,4,Boy,No,S_46,S_27,S_30,S_49,S_35
S_83,6,Girl,No,S_38,S_38,S_20,S_77,S_79
S_84,5,Boy,Yes,S_73,S_12,S_57,S_42,S_50
S_85,4,Boy,Yes,S_43,S_72,S_20,S_67,S_91
S_86,4,Boy,No,S_55,S_28,S_23,S_39,S_24
S_87,6,Boy,No,S_88,S_02,S_08,S_84,S_67
S_88,4,Girl,No,S_54,S_25,S_55,S_90,S_86
S_89,5,Girl,Yes,S_01,S_43,S_72,S_12,S_71
S_90,5,Boy,No,S_04,S_43,S_10,S_77,S_23
S_91,5,Boy,No,S_48,S_79,S_02,S_11,S_47
S_92,6,Boy,No,S_46,S_30,S_76,S_70,S_96
S_93,4,Boy,No,S_49,S_93,S_11,S_79,S_26
S_94,4,Boy,Yes,S_36,S_90,S_69,S_95,S_47
S_95,6,Girl,No,S_13,S_86,S_43,S_20,S_97
S_96,5,Boy,No,S_70,S_55,S_93,S_85,S_56
S_97,6,Boy,No,S_63,S_49,S_80,S_11,S_48
